issue_id,journal_id,user,notes,created_on,details,property,name,old_value,new_value
208273,1856818,Igor  Silva Freitas Santos,,2025-05-08 16:53:58,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2243', 'new_value': '2737'}]",attr,assigned_to_id,2243,2737
208273,1857377,Igor  Silva Freitas Santos,,2025-05-09 11:42:49,"[{'property': 'cf', 'name': '237', 'old_value': '', 'new_value': '2025-05-09'}, {'property': 'attr', 'name': 'status_id', 'old_value': '156', 'new_value': '114'}]",cf,237,,2025-05-09
208273,1857427,Francis Gomes Santos,,2025-05-09 12:20:33,"[{'property': 'cf', 'name': '396', 'old_value': '', 'new_value': 'SEFAZ - Time 02'}]",cf,396,,SEFAZ - Time 02
208273,1857664,Igor  Silva Freitas Santos,,2025-05-09 14:22:39,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2737', 'new_value': '2287'}]",attr,assigned_to_id,2737,2287
208272,1855233,Manuela da Silva Costa,,2025-05-06 19:55:43,"[{'property': 'relation', 'name': 'relates', 'new_value': '198366'}]",relation,relates,,198366
208272,1855236,Manuela da Silva Costa,,2025-05-06 19:56:19,"[{'property': 'attr', 'name': 'status_id', 'old_value': '199', 'new_value': '200'}, {'property': 'attachment', 'name': '317570', 'new_value': '208272.pdf'}]",attr,status_id,199,200
208272,1855237,Manuela da Silva Costa,,2025-05-06 19:56:24,"[{'property': 'attr', 'name': 'status_id', 'old_value': '200', 'new_value': '156'}]",attr,status_id,200,156
208272,1857529,Felipe Araujo da Silva,,2025-05-09 13:20:35,"[{'property': 'cf', 'name': '396', 'old_value': '', 'new_value': 'SEFAZ - Time 05'}]",cf,396,,SEFAZ - Time 05
208271,1855198,Cristina de Souza Azevedo,,2025-05-06 19:45:42,"[{'property': 'attr', 'name': 'assigned_to_id', 'new_value': '1803'}, {'property': 'attr', 'name': 'status_id', 'old_value': '199', 'new_value': '200'}, {'property': 'attr', 'name': 'category_id', 'new_value': '3166'}]",attr,assigned_to_id,,1803
208271,1855199,Cristina de Souza Azevedo,,2025-05-06 19:46:03,"[{'property': 'cf', 'name': '221', 'old_value': '', 'new_value': '3'}, {'property': 'cf', 'name': '334', 'old_value': '', 'new_value': '0'}, {'property': 'attr', 'name': 'assigned_to_id', 'old_value': '1803', 'new_value': '1609'}, {'property': 'attr', 'name': 'status_id', 'old_value': '200', 'new_value': '156'}]",cf,221,,3
208268,1855136,MIRIAN ARAUJO ALMEIDA,,2025-05-06 19:21:05,"[{'property': 'relation', 'name': 'relates', 'new_value': '205118'}]",relation,relates,,205118
208268,1855154,MIRIAN ARAUJO ALMEIDA,,2025-05-06 19:27:58,"[{'property': 'attachment', 'name': '317551', 'new_value': 'TKT_208268_ERRO DETALHES_06MAI2025.docx'}]",attachment,317551,,TKT_208268_ERRO DETALHES_06MAI2025.docx
208268,1855156,MIRIAN ARAUJO ALMEIDA,,2025-05-06 19:28:09,"[{'property': 'attr', 'name': 'status_id', 'old_value': '199', 'new_value': '200'}]",attr,status_id,199,200
208268,1855157,MIRIAN ARAUJO ALMEIDA,,2025-05-06 19:28:16,"[{'property': 'attr', 'name': 'status_id', 'old_value': '200', 'new_value': '156'}]",attr,status_id,200,156
208268,1855160,MIRIAN ARAUJO ALMEIDA,,2025-05-06 19:28:35,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '248', 'new_value': '2754'}]",attr,assigned_to_id,248,2754
208268,1855336,Aritana  Bahia Schlumbom,,2025-05-07 11:23:06,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2754', 'new_value': '2786'}]",attr,assigned_to_id,2754,2786
208268,1855395,Evandro Rosa Santos,,2025-05-07 12:22:19,"[{'property': 'attr', 'name': 'status_id', 'old_value': '156', 'new_value': '114'}]",attr,status_id,156,114
208268,1855676,Evandro Rosa Santos,,2025-05-07 14:10:39,"[{'property': 'attachment', 'name': '317642', 'new_value': 'Ajuste 208268.png'}]",attachment,317642,,Ajuste 208268.png
208268,1855808,Evandro Rosa Santos,,2025-05-07 17:16:21,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2786', 'new_value': '2287'}]",attr,assigned_to_id,2786,2287
208268,1856288,Fiplan Arquitetura,Ticket disponível no ambiente testeintegrado.fiplan.ba.gov.br,2025-05-08 10:10:28,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2287', 'new_value': '2786'}]",attr,assigned_to_id,2287,2786
208268,1856366,Evandro Rosa Santos,,2025-05-08 12:22:06,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2786', 'new_value': '248'}, {'property': 'attr', 'name': 'status_id', 'old_value': '114', 'new_value': '149'}]",attr,assigned_to_id,2786,248
208268,1856434,MIRIAN ARAUJO ALMEIDA,,2025-05-08 13:00:44,"[{'property': 'attr', 'name': 'status_id', 'old_value': '149', 'new_value': '150'}]",attr,status_id,149,150
208268,1856544,MIRIAN ARAUJO ALMEIDA,,2025-05-08 13:44:39,"[{'property': 'attr', 'name': 'status_id', 'old_value': '150', 'new_value': '5'}]",attr,status_id,150,5
208268,1856584,MIRIAN ARAUJO ALMEIDA,Em anexo documento de evidencias da correção.,2025-05-08 14:00:15,"[{'property': 'attachment', 'name': '317828', 'new_value': 'TKT_208268_Evidencia Correção_08MAI2025.docx'}]",attachment,317828,,TKT_208268_Evidencia Correção_08MAI2025.docx
208267,1855126,Cristiane Menezes S. Santos,,2025-05-06 19:17:57,"[{'property': 'relation', 'name': 'copied_from', 'new_value': '194185'}]",relation,copied_from,,194185
208267,1855128,Cristiane Menezes S. Santos,,2025-05-06 19:18:13,"[{'property': 'relation', 'name': 'relates', 'new_value': '208266'}]",relation,relates,,208266
208267,1855129,Cristiane Menezes S. Santos,,2025-05-06 19:18:27,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2101', 'new_value': '733'}]",attr,assigned_to_id,2101,733
208267,1855131,Cristiane Menezes S. Santos,,2025-05-06 19:19:13,"[{'property': 'attr', 'name': 'description', 'old_value': 'Solicito consulta com os seguintes dados:\r\n\r\nExercício 2024 ; Órgão (código, nome, sigla); Unidade Setorial de Planejamento (código, nome, sigla); Unidade Orçamentária (código, nome, sigla);\r\n\r\nTabelas:\r\n\r\nUNIDADE_ADMINISTRATIVA\r\nORGAO\r\nUNIDADE_ORCAMENTARIA\r\n\r\nTicket similar: #194185\r\n', 'new_value': 'Solicito consulta com os seguintes dados:\r\n\r\nExercício 2024; \r\nÓrgão (código, nome, sigla); \r\nUnidade Setorial de Planejamento (código, nome, sigla); \r\nUnidade Orçamentária (código, nome, sigla);\r\nData/Hora Extração;\r\n\r\nTabelas:\r\nUNIDADE_ADMINISTRATIVA\r\nORGAO\r\nUNIDADE_ORCAMENTARIA\r\n\r\nTicket similar: #194185\r\n'}]",attr,description,"Solicito consulta com os seguintes dados:rnrnExercício 2024 ; Órgão (código, nome, sigla); Unidade Setorial de Planejamento (código, nome, sigla); Unidade Orçamentária (código, nome, sigla);rnrnTabelas:rnrnUNIDADE_ADMINISTRATIVArnORGAOrnUNIDADE_ORCAMENTARIArnrnTicket similar: #194185rn","Solicito consulta com os seguintes dados:rnrnExercício 2024; rnÓrgão (código, nome, sigla); rnUnidade Setorial de Planejamento (código, nome, sigla); rnUnidade Orçamentária (código, nome, sigla);rnData/Hora Extração;rnrnTabelas:rnUNIDADE_ADMINISTRATIVArnORGAOrnUNIDADE_ORCAMENTARIArnrnTicket similar: #194185rn"
208267,1855351,Cristiane Menezes S. Santos,,2025-05-07 11:44:47,"[{'property': 'relation', 'name': 'copied_from', 'old_value': '194185'}]",relation,copied_from,194185,
208267,1855392,Nara Marise Campelo D'Amorim,,2025-05-07 12:20:16,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '733', 'new_value': '149'}]",attr,assigned_to_id,733,149
208267,1855823,Nara Marise Campelo D'Amorim,,2025-05-07 17:24:36,"[{'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '155'}]",attr,status_id,154,155
208267,1855889,Nara Marise Campelo D'Amorim,Solicitação atendida pela RDS 941754. ,2025-05-07 18:20:16,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '149', 'new_value': '2101'}, {'property': 'attr', 'name': 'status_id', 'old_value': '155', 'new_value': '30'}, {'property': 'attachment', 'name': '317678', 'new_value': 'FIPLANConsulta_208267.xlsx'}]",attr,assigned_to_id,149,2101
